ticker,date,family,classification,reason
1810,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1810,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1810,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1810,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1810,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1810,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1810,2026-02-27,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
1815,2026-02-27,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2002,2026-02-27,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2049,2026-02-27,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-13,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-16,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-17,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-18,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-19,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-20,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2059,2026-02-27,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2103,2026-01-01,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
2103,2026-02-12,adjusted_analysis_close,official_no_trade,TWSE and TPEx official market evidence indicates no trading session
