family,market,source_url,http_status,response_bytes,source_hash,retrieved_at,status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
margin_short,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/balance,200,106130,9ee7594b8c5f325f4a1021f36870bf735c69ceeec0f1d846a5bd11ee9935aebc,,accepted,,,,,,,,,
securities_lending,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/sbl,200,98885,ad88128dda89639a8f5416a62e0452577ac7ec1e9eb661bfaef05a0a60a10e96,,accepted,,,,,,,,,
foreign_ownership,TWSE,https://www.twse.com.tw/fund/MI_QFIIS?response=json&date=20260706&selectType=ALLBUT0999,200,,03cc9e572d5ecdbb952b040ae9057f1f3f41d6e1eb9872b6ab8808cdb5e88888,,accepted,,,,,,,,,
foreign_ownership,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/qfii?date=2026%2F07%2F06&response=json,200,,59821f2446f4696b8494df4d57d199e481ece824f9d331e74c4054b99c57b2c0,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TWSE,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,200,249194,1dca02eb373c62fcd1583d0c8869100926170619b4e12e3a03537775e96ebf99,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TPEx,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/07/07&response=json,200,1504527,98f4a076e59ec9751ac9d470e96f314fa681998f2eb13297957aea06fcc6441a,,accepted,,,,,,,,,
institutional,TWSE,https://www.twse.com.tw/fund/T86?date=20260707&selectType=ALLBUT0999&response=json,200,199292,56059b28d5dbb489f15a24fd8bb0677e13eae00680b6a9c0c65034bbe3bbfab2,,accepted,,,,,,,,,
margin_short,TWSE,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260707&selectType=ALL&response=json,200,127890,4649393c1bf23e042ced4bc2b09c345e638e25eb7a915994fa673c2310e1d6a5,,accepted,,,,,,,,,
securities_lending,TWSE,https://www.twse.com.tw/exchangeReport/TWT72U?date=20260707&response=json,200,201488,e19e565391622047491f1426a244f3d57c12a2e1a2279d974025cdfefadcef00,,accepted,,,,,,,,,
institutional,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,200,154263,1a43199a5662839fa3fe56a3fc8c4e3c66bca92aa70b36a8ab6b738043212c55,,accepted,,,,,,,,,
