source,period,url,retrieved_path,content_type,http_status,sha256,bytes,notes
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/image/Bt_query.gif?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_34.html,image/gif,200,9c81bf0c05a596306946b546a1dcaf7a466c0452855700c4d4b20d34420d4536,959,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/image/MorningStar.jpg?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_35.html,image/jpeg,200,eb62ee2eb4058b02fc5f56241d6a993f62146e781482e0b669e166734b43b71d,20900,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/image/MorningStar.jpg?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_36.html,image/jpeg,200,eb62ee2eb4058b02fc5f56241d6a993f62146e781482e0b669e166734b43b71d,20900,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/image/ico_sitca.ico?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_37.html,image/x-icon,200,548055e352d512bd9f55ef1c305ee7dc5d73cca7e31fbc5eee8d644ba21feb93,1150,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/image/ico_sitca.ico?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_38.html,image/x-icon,200,548055e352d512bd9f55ef1c305ee7dc5d73cca7e31fbc5eee8d644ba21feb93,1150,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/lib/tablerow.js?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_39.html,application/x-javascript,200,5f050c4b6eeb046ab7e78b63c7e3c5f4e3f4027cbf99ae8d72c31c80880e2ad9,592,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/lib/tablerow.js?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_40.html,application/x-javascript,200,5f050c4b6eeb046ab7e78b63c7e3c5f4e3f4027cbf99ae8d72c31c80880e2ad9,592,bounded candidate handler probe
yuanta_legacy_phase8,2014Q4,https://www.yuantafunds.com/fund/detail/1066,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_41.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://www.yuantafunds.com/fund/holding/1066,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_42.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://www.yuantafunds.com/active/ETF/0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_43.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://www.yuantafunds.com/ETF/0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_44.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=201412,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_45.html,text/html;charset=utf-8,200,1a4cf86c65845c88b1ea3c411cbb96f9ba57a25825b283e6b4968007a4431537,1515919,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://www.yuantafunds.com/api/fund/holding?fundid=1066&date=201412,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_46.html,text/html;charset=utf-8,200,1a4cf86c65845c88b1ea3c411cbb96f9ba57a25825b283e6b4968007a4431537,1515919,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundid=0050&date=2014-12-31,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_47.html,text/html,200,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,9917,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundId=1066&date=2014-12-31,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_48.html,text/html,200,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,9917,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141231,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_49.json,application/json; charset=utf-8,200,1704ad9e9825ada0a6342a143d2e30d82545a2f67e6a3967e5dddb23397fee3c,14108,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2014Q4,https://etfapi.yuantaetfs.com/ectranslation/api/trans?APIType=ETFBackstage&CompanyName=YUANTAFUNDS&PageName=%2Fproduct%2Fdetail%2F0050%2Fratio&DeviceId=null&FuncId=ETFTag%2FGetProductInformation&AppName=ETF&Device=4&Platform=ETF&stk_cd=0050&date=2014-12-31,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2014Q4_50.json,application/json; charset=utf-8,200,511d1ffacefee1208e3ac4099f193348b0c5c0375f87f9eafa68317ef1208288,93,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2016Q1,https://www.yuantafunds.com/fund/detail/1066,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_51.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2016Q1,https://www.yuantafunds.com/fund/holding/1066,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_52.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2016Q1,https://www.yuantafunds.com/active/ETF/0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_53.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2016Q1,https://www.yuantafunds.com/ETF/0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_54.html,text/html;charset=utf-8,200,7c791b5ef946e96f7c2486a8cd1ee27e8522eb55564272af62d849e6bafc2f5b,1515888,yuanta legacy/alternative route probe
yuanta_legacy_phase8,2016Q1,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=201603,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2016Q1_55.html,text/html;charset=utf-8,200,dd5cd9a3b89ba70fa347356e9e6bed7932a54ed9f5d654df4898681dc174f4b9,1515919,yuanta legacy/alternative route probe
