ticker,market,event_inventory_rows,event_inventory_available,no_event_completeness_proven,official_adjusted_complete,status
2329,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2330,TWSE,16,True,False,False,partial_event_inventory_no_no_event_proof
2331,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2332,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2337,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2338,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2340,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2344,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
2345,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2347,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2348,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2351,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2352,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2353,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2354,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2355,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2356,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2357,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2359,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2360,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2362,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2363,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2364,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2365,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2367,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
2368,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2369,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2371,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2374,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2375,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2376,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2377,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2379,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2382,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2383,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2385,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2388,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2392,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2393,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2395,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2399,TWSE,1,True,False,False,partial_event_inventory_no_no_event_proof
2401,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
2402,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2404,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2405,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2406,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2408,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
2409,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2412,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2413,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
2419,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
2421,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2425,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2427,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2428,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2436,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2439,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2441,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2448,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2449,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2451,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2453,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2454,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
2455,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2456,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2457,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2458,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2462,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2464,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2467,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2468,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2471,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2472,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2474,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2476,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2478,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2481,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2484,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2486,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2489,TWSE,12,True,False,False,partial_event_inventory_no_no_event_proof
2492,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2495,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2497,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2501,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2504,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2515,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2520,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2524,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2537,TWSE,1,True,False,False,partial_event_inventory_no_no_event_proof
2540,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2542,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2543,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2603,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2605,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2606,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2607,TWSE,9,True,False,False,partial_event_inventory_no_no_event_proof
2609,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2610,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2611,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2613,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2615,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2618,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2630,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2634,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2636,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2637,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2641,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
2645,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2646,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2727,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2731,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2743,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
2745,TPEx,2,True,False,False,partial_event_inventory_no_no_event_proof
2748,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2753,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2801,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2809,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2812,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2816,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2823,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2834,TWSE,9,True,False,False,partial_event_inventory_no_no_event_proof
2855,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2867,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2880,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
2881,TWSE,9,True,False,False,partial_event_inventory_no_no_event_proof
2882,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2883,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2884,TWSE,11,True,False,False,partial_event_inventory_no_no_event_proof
2885,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
2886,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
2887,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
2888,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2890,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2891,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2892,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2912,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2913,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2915,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3004,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3005,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3006,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
