source_id,raw_file_path,source_url_or_reference,document_date,covered_effective_start,covered_effective_end,source_type,archive_status,checksum_sha256,notes
2023Q4_yuanta_etfapi_product_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_product_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2023Q4_yuanta_etfapi_product_0050_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_product_0050_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFInfo%3Ffundid%3D0050&timestamp=20231231,2023-12-31,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,46a1335a33284b716fba2802d34b84b27851cc503c9a9239b6a7166749081ba0,attempt_type=wayback_available; content_type=application/json; row_count=0
2023Q4_yuanta_etfapi_ratio_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_ratio_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2023Q4_yuanta_etfapi_ratio_0050_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_ratio_0050_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetHoldStock%3Ffundid%3D0050&timestamp=20231231,2023-12-31,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,957f0d6825644e2980c465a6501e6f0eb2dbf5a12d711db1eadb89df448a8626,attempt_type=wayback_available; content_type=application/json; row_count=0
2023Q4_yuanta_etfapi_pcf_0050_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_pcf_0050_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2023Q4_yuanta_etfapi_pcf_0050_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_pcf_0050_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetPCF%3Ffundid%3D0050&timestamp=20231231,2023-12-31,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,8dfdbf6a599a644620c99aad36b3309fcee4839af5a163a49f1d7e9fab310bf6,attempt_type=wayback_available; content_type=application/json; row_count=0
2023Q4_yuanta_etfapi_file_downloads_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_file_downloads_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2023Q4_yuanta_etfapi_file_downloads_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_file_downloads_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetFileDownload%3Ffundid%3D0050&timestamp=20231231,2023-12-31,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,e9f678c060b68c950a128d5cc7f26db2ff4fb8fbb94ac344408550a12331c187,attempt_type=wayback_available; content_type=application/json; row_count=0
2023Q4_yuanta_etfapi_product_list_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_product_list_direct.html,https://etfapi.yuantaetfs.com/pageNotFound.html,,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,beaacb21773fc32943b58db261d26c714ddaf1adcb0c9264914efb1c55ba3abd,attempt_type=direct; content_type=text/html; row_count=0
2023Q4_yuanta_etfapi_product_list_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2023Q4_yuanta_etfapi_product_list_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2Fapi%2FETF%2FGetETFList&timestamp=20231231,2023-12-31,2023-12-31,2023-12-31,api_payload,downloaded_payload_candidate,3e48878a3d0c58b159bd14ee0287685950fab873919cd899f866cd58b227c91b,attempt_type=wayback_available; content_type=application/json; row_count=0
