variant_id,period,decision_date,ticker,role,requested_execution_date,market,name,open,high,low,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_path,exact_key_ready,fill_mode,future_data_violation_count
S04_CD10,P1,2019-05-28,8016,sell,2019-05-29,TWSE,矽創,,,,114.5,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20190529&type=ALLBUT0999&response=json,3d4908195b1d85ec3e6b1b67e8c15435c43f14089b7a10de7bafcb7ceb973d48,2026-07-10T13:02:00+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2019.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD2,P2,2023-09-05,2884,sell,2023-09-06,TWSE,玉山金,,,,24.35,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230906&type=ALLBUT0999&response=json,ce20aa3736d129559df8abe729fb0e8d73f1230577937257400c57dcdb7acdd4,2026-07-11T11:25:36+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\price\TWSE\2023-09-06.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD3,P2,2024-03-11,6285,sell,2024-03-12,TWSE,啟碁,,,,150.0,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240312&type=ALLBUT0999&response=json,73db17f6b0864a162150eb72cdff49d232e7b3c50c74909326def2e2a76ffc84,2026-07-11T08:58:03+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2024-03-12.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD7,P2,2024-01-18,2882,sell,2024-01-19,TWSE,國泰金,,,,43.8,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240119&type=ALLBUT0999&response=json,553eb75ec8873892168d6fabe4ec0fdf5b5379e505db1e08307d642756f83dbb,2026-07-11T08:57:46+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\checkpoints\price\TWSE\2024-01-19.csv.gz,True,local_official_raw_cache_reuse,0
S05_CD10,P2,2023-11-15,3406,sell,2023-11-16,TWSE,玉晶光,,,,383.5,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20231116&type=ALLBUT0999&response=json,c213b1741d47b47aa81837134592c05045e7f1443ea3a9ea86bb51cb45378ce6,2026-07-11T09:09:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-11-16.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD2,P1,2015-10-26,4904,sell,2015-10-27,TWSE,遠傳,,,,71.0,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20151027&type=ALLBUT0999&response=json,a08dce4ef9949b6407819d236d2aef74e376b46d3747eebc56e1c3135dfcf7e1,2026-07-10T12:43:30+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD2,P2,2023-05-25,3558,sell,2023-05-26,TPEx,神準,,,,246.5,official_tpex_raw_execution_ohlcv,unadjusted_execution_only,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2023/05/26&response=json,e295a8f4e8939ccecd6749ab47dd304f5cbcd32e05b5ef6b6bfdb9b5fe827966,2026-07-11T08:56:39+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TPEx\2023-05-26.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD3,P1,2015-06-29,2377,sell,2015-06-30,TWSE,微星,,,,31.2,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150630&type=ALLBUT0999&response=json,5aa6ba9b6abd84e9ee2833155aef04b70d029d87007fc0d2a6ad21df9fb16456,2026-07-10T12:41:54+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD5,P1,2015-08-31,2634,sell,2015-09-01,TWSE,漢翔,,,,36.05,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150901&type=ALLBUT0999&response=json,83fc4eebe5f9fe06d3134852320cae18f0133b3edfb306a2b390a37198472b15,2026-07-10T12:42:52+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD7,P1,2015-09-02,2634,sell,2015-09-03,TWSE,漢翔,,,,35.75,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150903&type=ALLBUT0999&response=json,ebd151a555bf087ab16f3c1cc808aa57a98d2a513a432d90a79b32c9af011ae3,2026-07-10T12:42:53+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
