signal_date,signal_family,variant,ticker,name,timing_variant,entry_date,exit_date,entry_price_kind,entry_ready,exit_ready,path_ready,blocked_reason,adjusted_close_ready
2019-09-12,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,5498,凱崴,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_proxy,5498,凱崴,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_proxy,5498,凱崴,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_proxy,5498,凱崴,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,5498,凱崴,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,5498,凱崴,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,5498,凱崴,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,regime_switch,conservative_hurdle_route,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,regime_switch,conservative_hurdle_route,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,regime_switch,conservative_hurdle_route,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,regime_switch,dispersion_route,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,regime_switch,dispersion_route,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,regime_switch,dispersion_route,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,regime_switch,hybrid_pullback_base_mega_override,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,regime_switch,hybrid_pullback_base_mega_override,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,regime_switch,hybrid_pullback_base_mega_override,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,regime_switch,market_bias_pool_trend_route,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,regime_switch,market_bias_pool_trend_route,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,regime_switch,market_bias_pool_trend_route,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,regime_switch,pool_breadth_route,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,regime_switch,pool_breadth_route,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,regime_switch,pool_breadth_route,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,3083,網龍,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,3083,網龍,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,3083,網龍,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,3083,網龍,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,3083,網龍,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,3083,網龍,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_proxy,3083,網龍,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_proxy,3083,網龍,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top1_rs20_proxy,3083,網龍,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,3083,網龍,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,3083,網龍,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,3083,網龍,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,regime_switch,conservative_hurdle_route,2338,光罩,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,regime_switch,conservative_hurdle_route,2338,光罩,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,regime_switch,conservative_hurdle_route,2338,光罩,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,regime_switch,dispersion_route,3083,網龍,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,regime_switch,dispersion_route,3083,網龍,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,regime_switch,dispersion_route,3083,網龍,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,regime_switch,hybrid_pullback_base_mega_override,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,regime_switch,hybrid_pullback_base_mega_override,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,regime_switch,hybrid_pullback_base_mega_override,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,regime_switch,market_bias_pool_trend_route,3083,網龍,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,regime_switch,market_bias_pool_trend_route,3083,網龍,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,regime_switch,market_bias_pool_trend_route,3083,網龍,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-20,regime_switch,pool_breadth_route,2338,光罩,same_week_close_to_next_rebalance_close_comparator,2019-09-20,2019-09-27,close,true,true,true,,false
2019-09-20,regime_switch,pool_breadth_route,2338,光罩,next_day_close_entry_fixed_5td_exit,2019-09-23,2019-10-01,close,true,true,true,,false
2019-09-20,regime_switch,pool_breadth_route,2338,光罩,next_day_open_entry_fixed_5td_exit,2019-09-23,2019-10-01,open,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_proxy,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_proxy,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top1_rs20_proxy,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,3661,世芯-KY,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,3661,世芯-KY,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,3661,世芯-KY,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,regime_switch,conservative_hurdle_route,2352,佳世達,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
2019-09-27,regime_switch,conservative_hurdle_route,2352,佳世達,next_day_close_entry_fixed_5td_exit,2019-10-01,2019-10-08,close,true,true,true,,false
2019-09-27,regime_switch,conservative_hurdle_route,2352,佳世達,next_day_open_entry_fixed_5td_exit,2019-10-01,2019-10-08,open,true,true,true,,false
2019-09-27,regime_switch,dispersion_route,2352,佳世達,same_week_close_to_next_rebalance_close_comparator,2019-09-27,2019-10-04,close,true,true,true,,false
