ticker,date,source_rows,distinct_close_values,close_values,source_components
2330,2022-11-28,4,2,227.0|480.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2330,2023-12-04,3,2,227.0|574.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2330,2025-07-17,3,2,1130.0|1155.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2330,2026-03-11,3,2,227.0|1940.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2338,2022-11-28,4,2,18.55|83.2,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2344,2026-03-11,3,2,24.65|114.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2345,2022-08-04,4,2,253.5|285.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2345,2023-05-29,3,2,99.1|357.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2345,2023-10-11,3,2,54.6|536.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2345,2025-08-20,3,2,956.0|1180.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2345,2025-08-21,3,2,950.0|1180.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2345,2026-03-11,3,2,99.1|1485.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2347,2021-10-22,2,2,40.7|52.6,p1_official_raw_annual_compact|shifted_reusable_combined_close_index
2347,2024-01-04,3,2,45.6|70.6,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2352,2022-08-04,2,2,28.35|28.7,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2353,2023-10-11,3,2,14.05|36.8,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2354,2022-11-28,2,2,49.95|85.0,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2354,2025-07-17,3,2,64.6|65.4,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2354,2025-08-20,3,2,60.9|69.2,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2354,2025-08-21,3,2,60.9|70.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2355,2023-10-11,3,2,39.7|61.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2355,2026-03-11,3,2,42.35|60.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2356,2022-08-04,2,2,23.95|24.05,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2356,2023-10-11,3,2,23.75|48.1,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2356,2025-07-17,3,2,42.45|43.2,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2357,2022-11-28,4,2,265.5|270.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2357,2023-12-04,3,2,270.0|387.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2357,2025-07-17,3,2,639.0|640.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2359,2022-08-04,4,2,27.25|28.15,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
