ticker,name,market,segment_id,first_decision_date,last_decision_date,decision_dates,ready_decision_dates,pre_segment_adjusted_observations,required_warmup_observations,warmup_252td_ready,status,future_data_violation_count,diagnostic_subproblem,supports_sequential_lifecycle_rank1_timing,representative_of_full_all80_layer5,may_be_used_to_reject_full_layer5,broad_additive_formula_followup,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
6415,矽力*-KY,TWSE,1,2026-03-02,2026-03-06,5,5,885,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6446,藥華藥,TWSE,1,2026-03-09,2026-03-13,5,5,890,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6446,藥華藥,TWSE,2,2026-03-23,2026-04-02,9,9,900,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6531,愛普*,TWSE,1,2023-10-23,2023-10-27,5,5,318,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6548,長科*,TPEx,1,2026-02-09,2026-02-11,3,3,878,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6669,緯穎,TWSE,1,2024-02-26,2024-03-01,4,4,400,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6756,威鋒電子,TWSE,1,2024-01-22,2024-01-26,5,5,382,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6788,華景電,TPEx,1,2025-07-28,2025-08-08,10,10,745,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6944,兆聯實業,TWSE,1,2025-09-15,2025-09-19,5,5,581,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
7769,鴻勁,TWSE,1,2026-03-16,2026-03-20,5,5,328,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
8033,雷虎,TWSE,1,2026-01-19,2026-01-23,5,5,863,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
8039,台虹,TWSE,1,2024-09-23,2024-09-27,5,5,542,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
8069,元太,TPEx,1,2025-08-18,2025-08-22,5,5,759,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
8112,至上,TWSE,1,2023-09-04,2023-09-08,5,5,286,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
8210,勤誠,TWSE,1,2024-02-05,2024-02-05,1,1,392,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
8358,金居,TPEx,1,2025-07-21,2025-07-25,5,5,740,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
