family,date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted,source_url,source_hash
institutional,2023-11-10,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-11-10,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-11-13,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-11-13,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-11-14,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-11-14,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-11-15,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-11-15,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-11-16,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-11-16,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-11-17,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-11-17,TWSE,reused_existing_compact,85,85,0,False,local_compact,
institutional,2023-11-20,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-11-20,TWSE,reused_existing_compact,85,85,0,False,local_compact,
institutional,2023-11-21,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-11-21,TWSE,reused_existing_compact,85,85,0,False,local_compact,
institutional,2023-11-22,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-11-22,TWSE,reused_existing_compact,85,85,0,False,local_compact,
institutional,2023-11-23,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-11-23,TWSE,reused_existing_compact,85,85,0,False,local_compact,
institutional,2023-11-24,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-24,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-11-27,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-27,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-11-28,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-28,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-11-29,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-29,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-11-30,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-30,TWSE,reused_existing_compact,78,78,0,False,local_compact,
institutional,2023-12-01,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-12-01,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-12-04,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-12-04,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-12-05,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-12-05,TWSE,accepted,77,71,6,True,https://www.twse.com.tw/fund/T86?date=20231205&selectType=ALLBUT0999&response=json,d5a770184bc0aff3d138a8d313e4da2804e5204ae18a2f7b44d3c32b7b4a8b8f
institutional,2023-12-06,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-12-06,TWSE,reused_existing_compact,77,77,0,False,local_compact,
institutional,2023-12-07,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-12-07,TWSE,reused_existing_compact,88,88,0,False,local_compact,
institutional,2023-12-08,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2023-12-08,TWSE,reused_existing_compact,72,72,0,False,local_compact,
institutional,2023-12-11,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2023-12-11,TWSE,reused_existing_compact,72,72,0,False,local_compact,
institutional,2023-12-12,TPEx,reused_existing_compact,28,28,0,False,local_compact,
