snapshot_date,routing_variant,selected_route_mode,ticker,name,recommendation_type,path_bucket,entry_date,exit_date,entry_open_available,entry_close_available,exit_close_available,next_day_unadjusted_path_ready,adjusted_close_available,adjusted_close_ready,source_quality,adjustment_policy,blocked_reason,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2025-05-16,pool_breadth_route,stable_strength,2615,萬海,stock,ordinary_stock,2025-05-19,2025-05-26,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-23,conservative_hurdle_route,rs20_top3_risk_tiebreak,2345,智邦,stock,ordinary_stock,2025-05-26,2025-06-03,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-23,dispersion_route,rs20_top3_risk_tiebreak,2345,智邦,stock,ordinary_stock,2025-05-26,2025-06-03,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-23,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2345,智邦,stock,ordinary_stock,2025-05-26,2025-06-03,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-23,market_bias_pool_trend_route,stable_strength,2383,台光電,stock,ordinary_stock,2025-05-26,2025-06-03,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-23,pool_breadth_route,stable_strength,2383,台光電,stock,ordinary_stock,2025-05-26,2025-06-03,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-29,conservative_hurdle_route,rs20_top3_risk_tiebreak,3563,牧德,stock,ordinary_stock,2025-06-02,2025-06-09,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-29,dispersion_route,rs20_top3_risk_tiebreak,3563,牧德,stock,ordinary_stock,2025-06-02,2025-06-09,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-29,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,3563,牧德,stock,ordinary_stock,2025-06-02,2025-06-09,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-29,market_bias_pool_trend_route,stable_strength,6669,緯穎,stock,ordinary_stock,2025-06-02,2025-06-09,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-29,pool_breadth_route,stable_strength,6669,緯穎,stock,ordinary_stock,2025-06-02,2025-06-09,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
