family,ticker,route_scope,source_url,source_hash,cache_path,cache_reused,requested_rows,accepted_rows,blocked_rows,status
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231212&selectType=ALLBUT0999&response=json,ae51d1ecac6bc1546a77f0cbda2be2b86c33d505fbfdf084533103eac81cfe01,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231213&selectType=ALLBUT0999&response=json,b6e26b30967fd8b56aff7c1259a5ad36fb47d29dac2452371a75e10808736af6,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231214&selectType=ALLBUT0999&response=json,53cbc6ed41a3356634ec2f62e5e9e5b397dd3a9c06e43b0fd14746b91867239e,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240626&selectType=ALLBUT0999&response=json,2ec779b1a751ee8d2adc9c4875cf6ef2600915b583b2c21ae7a2cd3896dc999c,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240627&selectType=ALLBUT0999&response=json,74b15a5e37a6ef9bcae63fcad49e7f51cb66c1aa8e8b7b24ff023520dacb5b0b,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240628&selectType=ALLBUT0999&response=json,c66af7dfbb011cf8f6bb001957f68e277177441887825d743dc49264995724b6,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240701&selectType=ALLBUT0999&response=json,9a0fdcec15c66536b041cc5ac8eb154c6248b01142bdc446ad05f1e4cff98a40,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240702&selectType=ALLBUT0999&response=json,9a794df7ae4b014389a1a98bdfe10c56b077ea89a0c71c8921c4f5c4ef5f3514,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240703&selectType=ALLBUT0999&response=json,f578b7b33ca1abf9134258f46f78376093fe524d65f0ec11ae758e4acf2efab5,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240704&selectType=ALLBUT0999&response=json,a459e52b36f733319947397dbae48dfc57dcc6a030e84ab1187ea797846be672,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240705&selectType=ALLBUT0999&response=json,6006567360bc10988af9c266850dabe2385f03c268795598264788189a0a0180,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240708&selectType=ALLBUT0999&response=json,bede970b34e22aea602ee360e544aaee003fc414783b5e6c5671b4a06cb11f6c,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240709&selectType=ALLBUT0999&response=json,1fe17d4b947d2161f385f983234a87b0d62f26924ecf9971050382450dd743a7,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20240710&selectType=ALLBUT0999&response=json,3a3b2ace15a3e1c67f3b35c4a7066a35011d2968ec6a85350055b1cece3d2126,existing_compact,True,1,1,0,reused
