symbol,name,metric_name,metric_value,period,announcement_date,available_date,source_type,source_url,ingested_at
1590,亞德客-KY,monthly_revenue,2772214000,2023-05,2023-06-12,2023-06-12,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_5_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2542033000,2023-06,2023-07-10,2023-07-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_6_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2410641000,2023-07,2023-08-10,2023-08-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_7_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2561743000,2023-08,2023-09-11,2023-09-11,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_8_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2591877000,2023-09,2023-10-10,2023-10-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_9_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2395758000,2023-10,2023-11-10,2023-11-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_10_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2518431000,2023-11,2023-12-11,2023-12-11,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_11_1.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,421662000,2021-10,2021-11-10,2021-11-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_110_10_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,422936000,2021-11,2021-12-10,2021-12-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_110_11_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,417407000,2021-12,2022-01-10,2022-01-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_110_12_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,431963000,2022-01,2022-02-10,2022-02-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_1_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,357884000,2022-02,2022-03-10,2022-03-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_2_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,322005000,2022-03,2022-04-11,2022-04-11,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_3_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,503762000,2022-04,2022-05-10,2022-05-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_4_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,397780000,2022-05,2022-06-10,2022-06-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_5_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,392723000,2022-06,2022-07-11,2022-07-11,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_6_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,472977000,2022-07,2022-08-10,2022-08-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_7_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,379835000,2022-08,2022-09-12,2022-09-12,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_8_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,378884000,2022-09,2022-10-10,2022-10-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_9_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,378510000,2022-10,2022-11-10,2022-11-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_10_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,324198000,2022-11,2022-12-12,2022-12-12,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_11_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,310217000,2022-12,2023-01-10,2023-01-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_111_12_0.html,2026-06-07T11:11:12+00:00
1815,富喬,monthly_revenue,318264000,2023-01,2023-02-10,2023-02-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/otc/t21sc03_112_1_0.html,2026-06-07T11:11:12+00:00
