ticker,name,date,period,market,market_cap,free_float_market_cap,shares_outstanding,capital_stock,source_price_date,close_price,source_date,available_date,source_url,source_route,source_type,formal_exact,derivation,raw_source_path
2734,易飛網,2015-01-05,2015-01-05,TPEx,1117785100,,26086000,,2015-01-05,42.8500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2916,滿心,2015-01-05,2015-01-05,TPEx,977821116,,54626878,,2015-01-05,17.9000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2924,F-東凌,2015-01-05,2015-01-05,TPEx,2574530448,,34790952,,2015-01-05,74.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2926,誠品生,2015-01-05,2015-01-05,TPEx,7627477000,,45133000,,2015-01-05,169.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3064,泰偉,2015-01-05,2015-01-05,TPEx,2258019885,,72605141,,2015-01-05,31.1000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3066,李洲,2015-01-05,2015-01-05,TPEx,757603981,,83070612,,2015-01-05,9.1200,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3067,全域,2015-01-05,2015-01-05,TPEx,541320726,,29025240,,2015-01-05,18.6500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3068,美磊,2015-01-05,2015-01-05,TPEx,2869785738,,83424004,,2015-01-05,34.4000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3071,協禧,2015-01-05,2015-01-05,TPEx,1402251610,,146067876,,2015-01-05,9.6000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
3073,普格,2015-01-05,2015-01-05,TPEx,671956661,,46663657,,2015-01-05,14.4000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
