shard_path,year_month,market,rows,bytes,sha256,git_tracked
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-10.csv,2022-10,TPEx,15405,6028242,6f84eef7f991c0266b3806091635ecc4687dfb768b66f5454ce725f73342e5d1,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-11.csv,2022-11,TPEx,17098,6691098,b9cbf9391e6f8b09ccaf2009deb4da137e57750614874c83291703e34918ea93,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-12.csv,2022-12,TPEx,17160,6716123,0b1c581a535a47a34395668c24141286730c57703b114c1ad9cbc1b34c9aaea9,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-01.csv,2023-01,TPEx,10222,4000800,199cdaed762a1c69a6429ae29d9324aae0c3dc2a61b44788eb58e65b7f442a8d,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-02.csv,2023-02,TPEx,14206,5560715,a03a3e48cbc037734658a04c0400aa6f1f3e9f4ad6ecf63ea38a8795bd9d7786,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-03.csv,2023-03,TPEx,18286,7158674,96c9aae7056523b3921dba7d94cca6b10ec6ad69f08aa280dfeac67a8d096ca5,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-04.csv,2023-04,TPEx,13480,5277619,e6ba9ac26be38d54991b4e22eecc1b967f1639c74bb77345b86bed67b29cbf62,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-05.csv,2023-05,TPEx,17480,6843620,31a99578d008ab80556aa3870403339faeca97e639d59dcaddca0ed22fac1c85,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-06.csv,2023-06,TPEx,15959,6248658,c5148efa13de047e3ab2ee735a1c9ac9acdaa3a66bc61886639662360c1d154c,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-07.csv,2023-07,TPEx,16779,6569948,9372da5639165991fcb9179ac13d74975af348d073adba587f03612c3fdea118,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-08.csv,2023-08,TPEx,17481,6844301,78d72aa8e18a0e001b06e7c0f5b22d4f8f194a51c7b42c98db760734424954e7,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-09.csv,2023-09,TPEx,15889,6221093,91dbd90f34ca5ace120d191ca570612c011345cf8a7ec07ccd89137a8b776fea,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-10.csv,2023-10,TPEx,15886,6219747,6258a84c91692b9c530f22ddd5507f09c98e045ad977e3f8d4c25af66af11c88,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-11.csv,2023-11,TPEx,17543,6869141,a0c5d2571ca890d99eacb289b3f29287726fe164af7862b1b4895084af4d4af3,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2023-12.csv,2023-12,TPEx,16872,6607233,97bdd025ab2a508c27831985ffc8d4312b181564af8d6b74b560584be013788a,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-01.csv,2024-01,TPEx,17592,6889278,cd748efe43162ab476b38a413ea888496e51e650ed33ae22125ad13a69cb87bb,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-02.csv,2024-02,TPEx,10455,4094881,ccd8f18526ebed0d1e99cf099e499cf022f8137ea48c05e11a87e84be0ddbac2,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-03.csv,2024-03,TPEx,16993,6655626,df80146d08ffda5fd99f9e835b7f0cf235e70b9e272b50ab8ce9db1cb8afcc1f,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-04.csv,2024-04,TPEx,16236,6359299,965e14f3bf21ac140ae9b5b4f1caabf664bcfadd3862e91e1a7cc66907ac2ae9,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-05.csv,2024-05,TPEx,17880,7003703,1eda4ceede0a0d123b4e12c6f5d6b9b3eaecc6c3af7a11e09ee7312d686e98f6,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-06.csv,2024-06,TPEx,15464,6058106,c4a780ea2ae42d4f038b88dfa2a475cb613f7fda056f42ffd6aced146ca5bc82,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-07.csv,2024-07,TPEx,17150,6718890,e36b2fd5ad268874c59e8849571e6c03c56cb4b61f7a8404f3e0679cd0aadc99,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-08.csv,2024-08,TPEx,17937,7026565,03a036be49ace4dae6339dac8028878dbe55d109d23ef009177cbb9ccbeebcca,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-09.csv,2024-09,TPEx,16291,6382127,9ef9bed8b2dcc8a30c65e22236ef185331946b85f9f67b014b72f797ed41dc4a,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-10.csv,2024-10,TPEx,15520,6080577,5ee8f368d23d648f970792d793803a0f084a3da1c2185d921f8dcf41036d08c3,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-11.csv,2024-11,TPEx,17185,6732517,dd20e7621454d64670439630e74f12c00e409e532ecf5780aed376ee67356425,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2024-12.csv,2024-12,TPEx,18012,7056830,ec1ffe127005496fcd71f4fd59e01e88909b850a0ab5bd7eadac3f3be394fb1e,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-01.csv,2025-01,TPEx,12330,4830893,cb4d18e04197e01576757a4137d0e9ed0ab906437d3ca6d5ca470fc69302602c,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-02.csv,2025-02,TPEx,15723,6160718,209e849d0c64866b5d8128a086c8a24fd434128cd3c3ed30d4d4d10f7d303351,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-03.csv,2025-03,TPEx,17479,6849026,2f79d897073a4e7ba2894b36f9fa28a748672fe454d4028debc90965a74ad506,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-04.csv,2025-04,TPEx,16634,6516120,be9d758a20fd06e1ca7823b1e16d953b19570c5c6cac5b7bd6ac0131e2ff2584,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-05.csv,2025-05,TPEx,16643,6520452,fdaa59aaf651e67cb1bb7ec14aaa68d961546f094f97ec7568a47f2c4f4f3a66,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-06.csv,2025-06,TPEx,17460,6840860,6575d6bdad2bec1547900c94935e6fe22d246bc9a82c5b0b9bdef1117000df49,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-07.csv,2025-07,TPEx,19049,7463611,e78636125a30496a5759c9831e437b181a59a5e1aba12bf5288be508caacce48,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-08.csv,2025-08,TPEx,17619,6903632,43ac0ed1bb1ffaa2b8a55db11fac1a3c9516ee6f0bafe4dc14d2cb5e53faff25,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-09.csv,2025-09,TPEx,17599,6895860,ced1e27a8953931302d452cd54520f5074f65e653f324204a18947a5275c50a9,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2025-10.csv,2025-10,TPEx,16777,6573814,2ad6b3c189ce02f33eb6c1a32105583f3e4fedd7899e30f99e03befa444bd6b7,false_large_local_shard
