ticker,name,market,selected_signal_rows,required_start,required_end_with_exit_buffer,row_count,first_date,last_date,required_trading_date_count,missing_trading_date_count,unadjusted_open_close_path_ready,adjusted_close_available,adjusted_close_path_ready,source_quality,blocked_reason
4583,台灣精銳,TWSE,9,2024-01-02,2026-06-05,582,2024-01-02,2026-06-05,586,4,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4721,美琪瑪,TPEx,0,2024-01-02,2026-06-05,585,2024-01-02,2026-06-05,586,1,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4725,信昌化,TWSE,0,2024-01-02,2026-06-05,2,2025-08-01,2026-02-20,586,584,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4728,雙美,TPEx,0,2024-01-02,2026-06-05,573,2024-01-02,2026-06-05,586,13,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4733,上緯,TWSE,0,2024-01-02,2026-06-05,0,,,586,586,false,false,false,blocked_missing_local_price_rows,missing_unadjusted_trading_dates_or_no_rows
4736,泰博,TPEx,0,2024-01-02,2026-06-05,582,2024-01-02,2026-06-05,586,4,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4743,合一,TPEx,0,2024-01-02,2026-06-05,585,2024-01-02,2026-06-05,586,1,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4763,材料*-KY,TWSE,0,2024-01-02,2026-06-05,577,2024-01-02,2026-06-05,586,9,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4768,晶呈科技,TPEx,0,2024-01-02,2026-06-05,585,2024-01-02,2026-06-05,586,1,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4906,正文,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4908,前鼎,TPEx,0,2024-01-02,2026-06-05,585,2024-01-02,2026-06-05,586,1,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4909,新復興,TPEx,3,2024-01-02,2026-06-05,585,2024-01-02,2026-06-05,586,1,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4919,新唐,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4927,泰鼎-KY,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4935,茂林-KY,TWSE,0,2024-01-02,2026-06-05,584,2024-01-02,2026-06-05,586,2,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
4943,康控-KY,TWSE,0,2024-01-02,2026-06-05,579,2024-01-02,2026-06-05,586,7,false,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,missing_unadjusted_trading_dates_or_no_rows
