ticker,name,market,event_type,event_date,source_date,source_url,source_id,source_type,formal_ready,blocked_reason,raw_event_date,notes
706754,世紀*國票5A購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
706754,世紀*國票5A購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
706881,世紀*元大59購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
706881,世紀*元大59購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
706958,世紀*群益5A購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
706958,世紀*群益5A購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
706967,世紀*凱基5A購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
706967,世紀*凱基5A購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
706991,世紀*元大5A購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
706991,世紀*元大5A購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
707020,信立元大5A購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
707020,信立元大5A購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
722720,智崴統一52購01,TPEx,suspension,2026-01-21,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150121,TPEx historical suspended/resumed trading endpoint.
722720,智崴統一52購01,TPEx,resumption,2026-01-22,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150122,TPEx historical suspended/resumed trading endpoint.
723133,智崴統一52購02,TPEx,suspension,2026-01-21,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150121,TPEx historical suspended/resumed trading endpoint.
723133,智崴統一52購02,TPEx,resumption,2026-01-22,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150122,TPEx historical suspended/resumed trading endpoint.
730153,智崴統一54購01,TPEx,suspension,2026-01-21,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150121,TPEx historical suspended/resumed trading endpoint.
