batch_key,metric,request_ticker_count,route_status,http_status,response_bytes,response_hash,attempt_count,source_url,retrieved_at,error,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
InvestingCashflow_b013,InvestingCashflow,20,accepted,200,46276,517db5417c2199a32ca55e8541de7f7351187c8153cab94e9d473b5de7bb68e4,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b008,InvestingCashflow,20,accepted,200,49224,f8ca744dce1132dc8b88042deda93c87fb9ce4500a07efc2b9c5b5a9e1e18d95,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b011,InvestingCashflow,20,accepted,200,49304,2e711bde45916d1199a07ca487bfc1de1a585b7744065db3994e94375f9ab0d3,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b014,InvestingCashflow,20,accepted,200,47907,e820e6be08daead055c1966a718f998911a6cb19200909463a160de4cb7b395e,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b012,InvestingCashflow,20,accepted,200,48719,c240cd7592d1f7e561ab5a65cdffe1075fe39faa94d4dfd7f07a599865831364,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b015,InvestingCashflow,20,accepted,200,47611,b5bfe52d7a06cf9ada298daaf4a5cf8bb9c67c8353f6f686467619f9d73c0c43,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b017,InvestingCashflow,20,accepted,200,47746,e948eb65dbdc9bf55bd801f3a29510443a5edc8cb4dec49c77f3d8fca2243b89,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b020,InvestingCashflow,20,accepted,200,46651,e9dc006f786934596eb11eb3d22568b02023ed229af1d9de778ef5f83724179c,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b019,InvestingCashflow,20,accepted,200,37544,8338bd6f9a227c546e913e873f466e54317b4caa462e1827d2d6ebcddc8b6980,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b018,InvestingCashflow,20,accepted,200,43118,fa7d26de0c2255ad120a945d7e52a31b1b92b6fb644b8c0edabef2ac1936be5a,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b016,InvestingCashflow,20,accepted,200,48163,6bddb53077829f11b961677dfc5fc7d27003f0404ed238a1b85d7a886046cc56,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b021,InvestingCashflow,20,accepted,200,45146,6fc4eced31159d827fdfcec5e6bb0ba6c11df61edeae00f5394da1cc35861af3,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b022,InvestingCashflow,20,accepted,200,49044,372c386fff907ce7e600396400ca6a86346b954ae8a88f0955110441a310693b,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b023,InvestingCashflow,20,accepted,200,48223,17f2ad29ce4586e7238c3dd6f200a0338469dbcdecc5977ae89641fd6e7e04fe,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b024,InvestingCashflow,20,accepted,200,48680,92f61cf14993964a0716356115a2776492ebb7cfb69150242de20149439e3b1d,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b025,InvestingCashflow,20,accepted,200,48823,013e0b49bb825a3fce883b44a359a3858b2509b2143ba96b47c8777c65290bd9,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b027,InvestingCashflow,20,accepted,200,40754,4d79012df49cec46f971a9e016bf480266b7a2148ef96c7886302f2b9155ac07,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b028,InvestingCashflow,20,accepted,200,36907,f3ece21b63a50345d0e616cccc1c8270e4530d8972e85d2558fb20c35628355a,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b031,InvestingCashflow,20,accepted,200,32393,1d880c94e87e5cd70f5a042a12b23182665826f90d41fb0abdd4872ea38e7f21,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b029,InvestingCashflow,20,accepted,200,27204,4111fbbf540e1df272595837ccf332ee151b0a3454adf87eeb6b36ecb4daef7a,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b000,DebtRatio,20,accepted,200,39769,6124a8a1469cd610b69b2ebf9a7facbeba03d9ebb85b4081b2557e19b1cd20c2,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b030,InvestingCashflow,20,accepted,200,21245,449250ac4e976e8c2808162a49b1dbf712fd70d3e80b36fda85ef7bc20ffee05,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b026,InvestingCashflow,20,accepted,200,48476,387a1d942b318dee5393a2f53f8d23809617043fc8ae8fe6de8f8548c44c648c,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b001,DebtRatio,20,accepted,200,39766,62267744a85d04c8677cc73d3773fbd79c691ff842818e468b7e74e3e46d417e,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b034,InvestingCashflow,18,accepted,200,41928,a659e80659fa39cfb17a3cb5e43d7d4b36852e33b2eea2f4731ac8892231f82e,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b032,InvestingCashflow,20,accepted,200,48079,8097f071015e08aa6a7e2ec13af6ebc43a4dc3be4f09ba95f5502edafd63e980,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b033,InvestingCashflow,20,accepted,200,47317,91f5a46670e5fa6ebad2e83c113a054b59e57256affcd9589aab8e00697ca99f,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b002,DebtRatio,20,accepted,200,39671,2a9d261e621c659cacb54931bdfe8d299b4beec95079214d11883fc3ea47c4ee,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b003,DebtRatio,20,accepted,200,38142,2f93fda20c0683f85241e07454e225643e1db1159527ee8eb42f6c76f5df8d71,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b004,DebtRatio,20,accepted,200,39446,e48bacb0829052f5e053fabd4f3d19a4bff56a68cb1a858c96df0302e0446c9b,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b009,DebtRatio,20,accepted,200,34903,8d7c14e905907394a572cdafe31a77f6734d6024f9f9dfdadd0622659dc7990f,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b007,DebtRatio,20,accepted,200,38830,6adf0cbb6252b80b1347ee620632e35e80078897a8ad24a75e5b558a504cc0b0,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b006,DebtRatio,20,accepted,200,40192,8beeb177e79931d5acb3eabcdc92d4cc500b972f39fac183bd019e52150d0d02,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b008,DebtRatio,20,accepted,200,39848,1b8bff6f606b40fdd33fa9711fcc0e6e0f5541330e3a27cb0c9ccea8ff18b7fb,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b005,DebtRatio,20,accepted,200,40382,9f2d87f1c1f8970bcd748c5fb33d7dedde5a9fe63b1e346713f02ab76a131a1b,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b010,DebtRatio,20,accepted,200,40331,4e5c5fbc2c15e81596968cbe62ecd9889a0d3986727ec8682f8f4a6621730e86,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b011,DebtRatio,20,accepted,200,40260,fe7df36e3203daa88c906b3f0cd5254ba65b90bc7e5d6f67ec21867bffaf4265,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b013,DebtRatio,20,accepted,200,38106,e60b116f83b74fd18436873200f0cd87dab530d665ccc4d566dc136457e57d01,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b015,DebtRatio,20,accepted,200,39333,ecdb56c890b035491abcc8982eea65ea48053dcf106ed2c59e1b78657e5a4681,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b012,DebtRatio,20,accepted,200,39897,cb155c5d3fb19ea3179a69060e21ba81c9ef400fb794a82b54cbb72a90510e18,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b014,DebtRatio,20,accepted,200,39383,83679519d90aa10e93c02426cf851098ffbaa7c1141b98956127edc7490cbeac,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
DebtRatio_b017,DebtRatio,20,accepted,200,38780,10f60262d24247f485e5021f077cec262d4767d1def1a9492f7189740256d58b,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
